manufact	model	price	engine_s	horsepow	ln_price	pk_binned
Dodge	RamVan	18.575	3.9	175	2.921816591	"(160,187]"
Dodge	Dakota	16.98	2.5	120	2.832036181	"(108,134]"
Dodge	Durango	26.31	5.2	230	3.269949095	"(213,239]"
Dodge	Caravan	19.565	2.4	150	2.973742256	"(134,160]"
Ford	Escort	12.07	2	110	2.490723035	"(108,134]"
Ford	Mustang	21.56	3.8	190	3.070839746	"(187,213]"
Ford	Contour	17.035	2.5	170	2.835270051	"(160,187]"
Ford	Taurus	17.885	3	155	2.883962373	"(134,160]"
Ford	Focus	12.315	2	107	2.510818032	"(81.3,108]"
Ford	CrownVictoria	22.195	4.6	200	3.099867038	"(187,213]"
Ford	Explorer	31.93	4	210	3.463546007	"(187,213]"
Ford	Windstar	21.41	3	150	3.063858103	"(134,160]"
Ford	Expedition	36.135	4.6	240	3.587261925	"(239,266]"
Ford	Ranger	12.05	2.5	119	2.48906466	"(108,134]"
Ford	F-Series	26.935	4.6	220	3.293426556	"(213,239]"
Honda	Civic	12.885	1.6	106	2.556063844	"(81.3,108]"
Honda	Accord	15.35	2.3	135	2.731115474	"(134,160]"
Honda	CR-V	20.55	2	146	3.022860941	"(134,160]"
Honda	Passport	26.6	3.2	205	3.280911216	"(187,213]"
Honda	Odyssey	26	3.5	210	3.258096538	"(187,213]"
Hyundai	Accent	9.699	1.5	92	2.272022787	"(81.3,108]"
Hyundai	Elantra	11.799	2	140	2.468014782	"(134,160]"
Hyundai	Sonata	14.999	2.4	148	2.707983532	"(134,160]"
Infiniti	I30	29.465	3	227	3.383203118	"(213,239]"
Jaguar	S-Type	42.8	3	240	3.756538103	"(239,266]"
Jeep	Wrangler	14.46	2.5	120	2.671386217	"(108,134]"
Jeep	Cherokee	21.62	4	190	3.073618812	"(187,213]"
Jeep	GrandCherokee	26.895	4	195	3.291940396	"(187,213]"
Lexus	ES300	31.505	3	210	3.450146263	"(187,213]"
Lexus	GS300	37.805	3	225	3.632441369	"(213,239]"
Lexus	GS400	46.305	4	300	3.835249947	"(292,318]"
Lexus	LS400	54.005	4	290	3.989076635	"(266,292]"
Lexus	LX470	60.105	4.7	230	4.096093033	"(213,239]"
Lexus	RX300	34.605	3	220	3.54399818	"(213,239]"
Lincoln	Continental	39.08	4.6	275	3.665610827	"(266,292]"
Lincoln	Towncar	43.33	4.6	215	3.768845236	"(213,239]"
Lincoln	Navigator	42.66	5.4	300	3.753261713	"(292,318]"
Mitsubishi	Mirage	13.987	1.8	113	2.638128327	"(108,134]"
Mitsubishi	Eclipse	19.047	2.4	154	2.946909609	"(134,160]"
Mitsubishi	Galant	17.357	2.4	145	2.853995883	"(134,160]"
Mitsubishi	Diamante	24.997	3.5	210	3.218755818	"(187,213]"
Mitsubishi	3000GT	25.45	3	161	3.236715743	"(160,187]"
Mitsubishi	Montero	31.807	3.5	200	3.459686391	"(187,213]"
Mitsubishi	MonteroSport	22.527	3	173	3.11471459	"(160,187]"
Mercury	Mystique	16.24	2	125	2.787477335	"(108,134]"
Mercury	Cougar	16.54	2	125	2.80578169	"(108,134]"
Mercury	Sable	19.035	3	153	2.94627939	"(134,160]"
Mercury	GrandMarquis	22.605	4.6	200	3.118171121	"(187,213]"
Mercury	Mountaineer	27.56	4	210	3.316365446	"(187,213]"
Mercury	Villager	22.51	3.3	170	3.113959655	"(160,187]"
Mercedes-Benz	C-Class	31.75	2.3	185	3.457892725	"(160,187]"
Mercedes-Benz	E-Class	49.9	3.2	221	3.910021003	"(213,239]"
Mercedes-Benz	S-Class	69.7	4.3	275	4.244200318	"(266,292]"
Mercedes-Benz	SL-Class	82.6	5	302	4.414009681	"(292,318]"
Mercedes-Benz	SLK	38.9	2.3	190	3.660994251	"(187,213]"
Mercedes-Benz	SLK230	41	2.3	185	3.713572067	"(160,187]"
Mercedes-Benz	CLKCoupe	41.6	3.2	215	3.728100167	"(213,239]"
Mercedes-Benz	CL500	85.5	5	302	4.448516376	"(292,318]"
Mercedes-Benz	M-Class	35.3	3.2	215	3.563882964	"(213,239]"
Nissan	Sentra	13.499	1.8	126	2.602615609	"(108,134]"
Nissan	Altima	20.39	2.4	155	3.015044585	"(134,160]"
Nissan	Maxima	26.249	3	222	3.267627893	"(213,239]"
Nissan	Quest	26.399	3.3	170	3.273326131	"(160,187]"
Nissan	Pathfinder	29.299	3.3	170	3.377553386	"(160,187]"
Nissan	Xterra	22.799	3.3	170	3.126716675	"(160,187]"
Nissan	Frontier	17.89	3.3	170	2.884241898	"(160,187]"
Oldsmobile	Cutlass	18.145	3.1	150	2.898395041	"(134,160]"
Oldsmobile	Intrigue	24.15	3.5	215	3.18428438	"(213,239]"
Oldsmobile	Alero	18.27	2.4	150	2.90526037	"(134,160]"
Oldsmobile	Aurora	36.229	4	250	3.589859903	"(239,266]"
Oldsmobile	Bravada	31.598	4.3	190	3.453093827	"(187,213]"
Oldsmobile	Silhouette	25.345	3.4	185	3.232581472	"(160,187]"
Plymouth	Neon	12.64	2	132	2.536866389	"(108,134]"
Plymouth	Breeze	16.08	2	132	2.777576264	"(108,134]"
Plymouth	Voyager	18.85	2.4	150	2.936512914	"(134,160]"
Plymouth	Prowler	43	3.5	253	3.761200116	"(239,266]"
Pontiac	Sunfire	21.61	2.4	150	3.073156171	"(134,160]"
Pontiac	GrandAm	19.72	3.4	175	2.981633349	"(160,187]"
Pontiac	Firebird	25.31	3.8	200	3.231199575	"(187,213]"
Pontiac	GrandPrix	21.665	3.8	195	3.075698055	"(187,213]"
Pontiac	Bonneville	23.755	3.8	205	3.167793035	"(187,213]"
Pontiac	Montana	25.635	3.4	185	3.243958605	"(160,187]"
Porsche	Boxter	41.43	2.7	217	3.724005256	"(213,239]"
Porsche	CarreraCoupe	71.02	3.4	300	4.262961528	"(292,318]"
Porsche	CarreraCabriolet	74.97	3.4	300	4.317088034	"(292,318]"
Saab	09-May	33.12	2.3	170	3.50013733	"(160,187]"
Saab	09-Mar	26.1	2	185	3.261935314	"(160,187]"
Saturn	SL	10.685	1.9	100	2.368840889	"(81.3,108]"
Saturn	SC	12.535	1.9	100	2.528524732	"(81.3,108]"
Saturn	SW	14.29	1.9	124	2.659559992	"(108,134]"
Saturn	LW	18.835	2.2	137	2.935716841	"(134,160]"
Saturn	LS	15.01	2.2	137	2.708716646	"(134,160]"
Subaru	Outback	22.695	2.5	165	3.122144636	"(160,187]"
Subaru	Forester	20.095	2.5	165	3.000471028	"(160,187]"
Toyota	Corolla	13.108	1.8	120	2.573222731	"(108,134]"
Toyota	Camry	17.518	2.2	133	2.863228924	"(108,134]"
Toyota	Avalon	25.545	3	210	3.240441603	"(187,213]"
Toyota	Celica	16.875	1.8	140	2.825833237	"(134,160]"
Toyota	Tacoma	11.528	2.4	142	2.444778859	"(134,160]"
Toyota	Sienna	22.368	3	194	3.107631366	"(187,213]"
Toyota	RAV4	16.888	2	127	2.826603311	"(108,134]"
Toyota	4Runner	22.288	2.7	150	3.104048417	"(134,160]"
Toyota	LandCruiser	51.728	4.7	230	3.945999221	"(213,239]"
Volkswagen	Golf	14.9	2	115	2.701361213	"(108,134]"
Volkswagen	Jetta	16.7	2	115	2.815408719	"(108,134]"
Volkswagen	Passat	21.2	1.8	150	3.054001182	"(134,160]"
Volkswagen	Cabrio	19.99	2	115	2.995232149	"(108,134]"
Volkswagen	GTI	17.5	2	115	2.862200881	"(108,134]"
Volkswagen	Beetle	15.9	2	115	2.766319109	"(108,134]"
Volvo	S40	23.4	1.9	160	3.152736022	"(134,160]"
Volvo	V40	24.4	1.9	160	3.194583132	"(134,160]"
Volvo	S70	27.5	2.4	168	3.314186005	"(160,187]"
Volvo	V70	28.8	2.4	168	3.360375387	"(160,187]"
Volvo	C70	45.5	2.3	236	3.817712326	"(213,239]"
Volvo	S80	36	2.9	201	3.583518938	"(187,213]"
